timestamp,x1,y1,tx1,ty1,action
12,5,5,4,3,u
13,5,5,4,3,u
14,5,5,4,3,r
0,5,5,4,4,r
1,5,5,4,4,r
2,5,5,4,4,l
3,5,5,4,4,u
4,5,5,4,4,d
5,5,5,4,4,u
6,5,5,4,4,l
7,5,5,4,4,r
8,5,5,4,4,l
9,5,5,4,4,u
10,5,5,4,4,r
11,5,5,4,4,l
12,5,5,4,4,l
13,5,5,4,4,u
14,5,5,4,4,l
0,5,5,4,5,l
1,5,5,4,5,l
2,5,5,4,5,l
3,5,5,4,5,l
4,5,5,4,5,l
5,5,5,4,5,l
6,5,5,4,5,l
7,5,5,4,5,l
8,5,5,4,5,l
9,5,5,4,5,l
10,5,5,4,5,l
11,5,5,4,5,l
12,5,5,4,5,l
13,5,5,4,5,l
14,5,5,4,5,l
0,5,5,4,6,d
1,5,5,4,6,l
2,5,5,4,6,d
3,5,5,4,6,u
4,5,5,4,6,d
5,5,5,4,6,l
6,5,5,4,6,l
7,5,5,4,6,l
8,5,5,4,6,d
9,5,5,4,6,r
10,5,5,4,6,d
11,5,5,4,6,l
12,5,5,4,6,d
13,5,5,4,6,l
14,5,5,4,6,d
0,5,5,4,7,d
1,5,5,4,7,u
2,5,5,4,7,d
3,5,5,4,7,l
4,5,5,4,7,d
5,5,5,4,7,u
6,5,5,4,7,l
7,5,5,4,7,l
8,5,5,4,7,l
9,5,5,4,7,d
10,5,5,4,7,l
11,5,5,4,7,l
12,5,5,4,7,l
13,5,5,4,7,d
14,5,5,4,7,d
0,5,5,5,0,u
1,5,5,5,0,u
2,5,5,5,0,u
3,5,5,5,0,u
4,5,5,5,0,u
5,5,5,5,0,u
6,5,5,5,0,u
7,5,5,5,0,u
8,5,5,5,0,l
9,5,5,5,0,l
10,5,5,5,0,u
11,5,5,5,0,u
12,5,5,5,0,r
13,5,5,5,0,r
14,5,5,5,0,u
0,5,5,5,1,u
1,5,5,5,1,l
2,5,5,5,1,u
3,5,5,5,1,u
4,5,5,5,1,u
5,5,5,5,1,l
6,5,5,5,1,l
7,5,5,5,1,u
8,5,5,5,1,r
9,5,5,5,1,l
10,5,5,5,1,u
11,5,5,5,1,r
12,5,5,5,1,u
13,5,5,5,1,r
14,5,5,5,1,u
0,5,5,5,2,u
1,5,5,5,2,u
2,5,5,5,2,u
3,5,5,5,2,u
4,5,5,5,2,l
5,5,5,5,2,l
6,5,5,5,2,l
7,5,5,5,2,u
8,5,5,5,2,u
9,5,5,5,2,u
10,5,5,5,2,u
11,5,5,5,2,u
12,5,5,5,2,u
13,5,5,5,2,u
14,5,5,5,2,u
0,5,5,5,3,u
1,5,5,5,3,r
2,5,5,5,3,u
3,5,5,5,3,r
4,5,5,5,3,u
5,5,5,5,3,u
6,5,5,5,3,l
7,5,5,5,3,u
8,5,5,5,3,u
9,5,5,5,3,u
10,5,5,5,3,u
11,5,5,5,3,u
12,5,5,5,3,r
13,5,5,5,3,l
14,5,5,5,3,u
0,5,5,5,4,u
1,5,5,5,4,u
2,5,5,5,4,u
3,5,5,5,4,u
4,5,5,5,4,r
5,5,5,5,4,l
6,5,5,5,4,u
7,5,5,5,4,u
8,5,5,5,4,u
9,5,5,5,4,u
10,5,5,5,4,l
11,5,5,5,4,r
12,5,5,5,4,u
13,5,5,5,4,l
14,5,5,5,4,u
0,5,5,5,5,r
1,5,5,5,5,s
2,5,5,5,5,d
3,5,5,5,5,r
4,5,5,5,5,s
5,5,5,5,5,d
6,5,5,5,5,d
7,5,5,5,5,l
8,5,5,5,5,l
9,5,5,5,5,r
10,5,5,5,5,r
11,5,5,5,5,d
12,5,5,5,5,r
13,5,5,5,5,l
14,5,5,5,5,r
0,5,5,5,6,d
1,5,5,5,6,l
2,5,5,5,6,d
3,5,5,5,6,d
4,5,5,5,6,d
5,5,5,5,6,d
6,5,5,5,6,r
7,5,5,5,6,d
8,5,5,5,6,d
9,5,5,5,6,d
10,5,5,5,6,d
11,5,5,5,6,d
12,5,5,5,6,l
13,5,5,5,6,d
14,5,5,5,6,d
0,5,5,5,7,d
1,5,5,5,7,r
2,5,5,5,7,d
3,5,5,5,7,d
4,5,5,5,7,d
5,5,5,5,7,l
